responseid,orig_cluster,orig_label,ias,iats,c42_km3,c42_pam3
Anonymized,2,High Accuracy / Low Attention,78,35,Efficient,Low Attention
Anonymized,3,Low Accuracy / Average Attention,70,48,Uncertain,Average
Anonymized,3,Low Accuracy / Average Attention,68,50,Uncertain,Average
Anonymized,1,Average Accuracy / High Attention,75,54,Uncertain,Average
Anonymized,2,High Accuracy / Low Attention,105,30,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,93,26,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,73,28,Efficient,Low Attention
Anonymized,3,Low Accuracy / Average Attention,66,47,Uncertain,Average
Anonymized,1,Average Accuracy / High Attention,80,56,Hypervigilant,Average
Anonymized,2,High Accuracy / Low Attention,93,43,Efficient,Average
Anonymized,1,Average Accuracy / High Attention,92,55,Hypervigilant,Average
Anonymized,1,Average Accuracy / High Attention,91,61,Hypervigilant,Average
Anonymized,3,Low Accuracy / Average Attention,66,56,Uncertain,Average
Anonymized,1,Average Accuracy / High Attention,81,68,Hypervigilant,High Attention
Anonymized,1,Average Accuracy / High Attention,71,74,Hypervigilant,High Attention
Anonymized,3,Low Accuracy / Average Attention,70,33,Uncertain,Low Attention
Anonymized,3,Low Accuracy / Average Attention,73,49,Uncertain,Average
Anonymized,3,Low Accuracy / Average Attention,72,52,Uncertain,Average
Anonymized,1,Average Accuracy / High Attention,87,51,Hypervigilant,Average
Anonymized,2,High Accuracy / Low Attention,97,33,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,78,66,Hypervigilant,High Attention
Anonymized,2,High Accuracy / Low Attention,79,40,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,94,38,Efficient,Low Attention
Anonymized,3,Low Accuracy / Average Attention,64,53,Uncertain,Average
Anonymized,2,High Accuracy / Low Attention,92,29,Efficient,Low Attention
Anonymized,3,Low Accuracy / Average Attention,68,55,Uncertain,Average
Anonymized,1,Average Accuracy / High Attention,78,47,Uncertain,Average
Anonymized,1,Average Accuracy / High Attention,91,80,Hypervigilant,High Attention
Anonymized,3,Low Accuracy / Average Attention,69,37,Uncertain,Low Attention
Anonymized,1,Average Accuracy / High Attention,78,58,Hypervigilant,Average
Anonymized,1,Average Accuracy / High Attention,76,66,Hypervigilant,High Attention
Anonymized,3,Low Accuracy / Average Attention,73,48,Uncertain,Average
Anonymized,1,Average Accuracy / High Attention,76,50,Uncertain,Average
Anonymized,1,Average Accuracy / High Attention,81,63,Hypervigilant,Average
Anonymized,2,High Accuracy / Low Attention,103,40,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,105,79,Hypervigilant,High Attention
Anonymized,2,High Accuracy / Low Attention,91,45,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,97,25,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,72,29,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,99,44,Efficient,Average
Anonymized,2,High Accuracy / Low Attention,76,25,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,97,37,Efficient,Low Attention
Anonymized,3,Low Accuracy / Average Attention,65,53,Uncertain,Average
Anonymized,2,High Accuracy / Low Attention,78,45,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,89,44,Efficient,Low Attention
Anonymized,3,Low Accuracy / Average Attention,76,44,Uncertain,Average
Anonymized,2,High Accuracy / Low Attention,77,42,Efficient,Average
Anonymized,1,Average Accuracy / High Attention,74,65,Hypervigilant,Average
Anonymized,3,Low Accuracy / Average Attention,56,48,Uncertain,Average
Anonymized,3,Low Accuracy / Average Attention,65,37,Uncertain,Low Attention
Anonymized,2,High Accuracy / Low Attention,86,48,Efficient,Average
Anonymized,1,Average Accuracy / High Attention,81,53,Hypervigilant,Average
Anonymized,1,Average Accuracy / High Attention,82,71,Hypervigilant,High Attention
Anonymized,1,Average Accuracy / High Attention,77,60,Hypervigilant,Average
Anonymized,2,High Accuracy / Low Attention,91,27,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,74,65,Hypervigilant,High Attention
Anonymized,1,Average Accuracy / High Attention,82,57,Hypervigilant,Average
Anonymized,2,High Accuracy / Low Attention,92,32,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,71,65,Hypervigilant,Average
Anonymized,1,Average Accuracy / High Attention,73,56,Hypervigilant,Average
Anonymized,3,Low Accuracy / Average Attention,66,35,Uncertain,Low Attention
Anonymized,3,Low Accuracy / Average Attention,65,32,Uncertain,Low Attention
Anonymized,1,Average Accuracy / High Attention,75,64,Hypervigilant,Average
Anonymized,1,Average Accuracy / High Attention,77,63,Hypervigilant,High Attention
Anonymized,3,Low Accuracy / Average Attention,74,48,Uncertain,Average
Anonymized,3,Low Accuracy / Average Attention,61,33,Uncertain,Low Attention
Anonymized,2,High Accuracy / Low Attention,82,42,Efficient,Average
Anonymized,2,High Accuracy / Low Attention,88,42,Efficient,Average
Anonymized,2,High Accuracy / Low Attention,88,29,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,78,29,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,91,54,Hypervigilant,Average
Anonymized,1,Average Accuracy / High Attention,75,53,Uncertain,Average
Anonymized,2,High Accuracy / Low Attention,74,32,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,102,36,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,93,30,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,79,55,Hypervigilant,Average
Anonymized,1,Average Accuracy / High Attention,90,76,Hypervigilant,High Attention
Anonymized,2,High Accuracy / Low Attention,83,37,Efficient,Low Attention
Anonymized,3,Low Accuracy / Average Attention,68,47,Uncertain,Average
Anonymized,3,Low Accuracy / Average Attention,65,53,Uncertain,Average
Anonymized,2,High Accuracy / Low Attention,84,32,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,85,36,Efficient,Average
Anonymized,1,Average Accuracy / High Attention,71,60,Hypervigilant,Average
Anonymized,2,High Accuracy / Low Attention,72,27,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,95,24,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,84,49,Efficient,Average
Anonymized,2,High Accuracy / Low Attention,76,38,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,68,69,Hypervigilant,High Attention
Anonymized,2,High Accuracy / Low Attention,81,46,Efficient,Average
Anonymized,2,High Accuracy / Low Attention,84,27,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,79,24,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,92,41,Efficient,Average
Anonymized,1,Average Accuracy / High Attention,84,52,Hypervigilant,Average
Anonymized,2,High Accuracy / Low Attention,80,30,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,78,50,Uncertain,Average
Anonymized,1,Average Accuracy / High Attention,78,51,Uncertain,Average
Anonymized,3,Low Accuracy / Average Attention,70,48,Uncertain,Average
Anonymized,2,High Accuracy / Low Attention,78,30,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,101,39,Efficient,Low Attention
Anonymized,3,Low Accuracy / Average Attention,73,44,Uncertain,Average
Anonymized,2,High Accuracy / Low Attention,82,43,Efficient,Average
Anonymized,2,High Accuracy / Low Attention,84,40,Efficient,Average
Anonymized,2,High Accuracy / Low Attention,83,36,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,77,39,Efficient,Average
Anonymized,2,High Accuracy / Low Attention,82,29,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,83,63,Hypervigilant,High Attention
Anonymized,2,High Accuracy / Low Attention,79,29,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,76,51,Uncertain,Average
Anonymized,1,Average Accuracy / High Attention,82,56,Hypervigilant,Average
Anonymized,3,Low Accuracy / Average Attention,62,41,Uncertain,Low Attention
Anonymized,1,Average Accuracy / High Attention,76,64,Hypervigilant,Average
Anonymized,2,High Accuracy / Low Attention,87,41,Efficient,Average
Anonymized,1,Average Accuracy / High Attention,96,53,Hypervigilant,Average
Anonymized,3,Low Accuracy / Average Attention,71,50,Uncertain,Average
Anonymized,1,Average Accuracy / High Attention,82,55,Hypervigilant,Average
Anonymized,3,Low Accuracy / Average Attention,72,39,Uncertain,Average
Anonymized,3,Low Accuracy / Average Attention,72,54,Uncertain,Average
Anonymized,2,High Accuracy / Low Attention,78,45,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,83,37,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,81,26,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,82,32,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,91,31,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,89,38,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,77,60,Hypervigilant,Average
Anonymized,2,High Accuracy / Low Attention,87,44,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,98,76,Hypervigilant,High Attention
Anonymized,3,Low Accuracy / Average Attention,74,40,Uncertain,Low Attention
Anonymized,3,Low Accuracy / Average Attention,65,44,Uncertain,Low Attention
Anonymized,1,Average Accuracy / High Attention,72,63,Hypervigilant,Average
Anonymized,3,Low Accuracy / Average Attention,57,60,Uncertain,High Attention
Anonymized,3,Low Accuracy / Average Attention,67,51,Uncertain,Average
Anonymized,2,High Accuracy / Low Attention,80,33,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,78,34,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,80,54,Hypervigilant,Average
Anonymized,1,Average Accuracy / High Attention,71,62,Hypervigilant,Average
Anonymized,1,Average Accuracy / High Attention,76,53,Uncertain,Average
Anonymized,2,High Accuracy / Low Attention,96,39,Efficient,Average
Anonymized,3,Low Accuracy / Average Attention,71,46,Uncertain,Low Attention
Anonymized,3,Low Accuracy / Average Attention,65,23,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,77,26,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,82,55,Hypervigilant,Average
Anonymized,2,High Accuracy / Low Attention,91,21,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,80,75,Hypervigilant,High Attention
Anonymized,2,High Accuracy / Low Attention,98,26,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,83,50,Hypervigilant,Average
Anonymized,2,High Accuracy / Low Attention,86,41,Efficient,Average
Anonymized,3,Low Accuracy / Average Attention,60,34,Uncertain,Low Attention
Anonymized,1,Average Accuracy / High Attention,77,54,Hypervigilant,Average
Anonymized,3,Low Accuracy / Average Attention,64,66,Hypervigilant,Average
Anonymized,2,High Accuracy / Low Attention,89,30,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,84,58,Hypervigilant,High Attention
Anonymized,2,High Accuracy / Low Attention,87,40,Efficient,Average
Anonymized,1,Average Accuracy / High Attention,96,82,Hypervigilant,High Attention
Anonymized,2,High Accuracy / Low Attention,83,46,Efficient,Average
Anonymized,1,Average Accuracy / High Attention,87,55,Hypervigilant,Average
Anonymized,2,High Accuracy / Low Attention,77,30,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,85,47,Efficient,Average
Anonymized,1,Average Accuracy / High Attention,81,68,Hypervigilant,High Attention
Anonymized,3,Low Accuracy / Average Attention,51,37,Uncertain,Low Attention
Anonymized,1,Average Accuracy / High Attention,80,49,Hypervigilant,Average
Anonymized,2,High Accuracy / Low Attention,75,39,Efficient,Average
Anonymized,2,High Accuracy / Low Attention,80,43,Efficient,Average
Anonymized,2,High Accuracy / Low Attention,100,22,Efficient,Low Attention
Anonymized,3,Low Accuracy / Average Attention,67,53,Uncertain,Average
Anonymized,3,Low Accuracy / Average Attention,76,45,Uncertain,Average
Anonymized,2,High Accuracy / Low Attention,81,46,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,80,31,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,76,36,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,91,52,Hypervigilant,Average
Anonymized,3,Low Accuracy / Average Attention,74,39,Efficient,Average
Anonymized,3,Low Accuracy / Average Attention,75,51,Uncertain,Average
Anonymized,3,Low Accuracy / Average Attention,74,52,Uncertain,Average
Anonymized,1,Average Accuracy / High Attention,78,49,Uncertain,Average
Anonymized,3,Low Accuracy / Average Attention,74,48,Uncertain,Average
Anonymized,3,Low Accuracy / Average Attention,66,49,Uncertain,Average
Anonymized,1,Average Accuracy / High Attention,77,49,Uncertain,Average
Anonymized,1,Average Accuracy / High Attention,91,61,Hypervigilant,Average
Anonymized,1,Average Accuracy / High Attention,83,62,Hypervigilant,Average
Anonymized,2,High Accuracy / Low Attention,78,44,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,86,73,Hypervigilant,High Attention
Anonymized,3,Low Accuracy / Average Attention,66,57,Uncertain,Average
Anonymized,3,Low Accuracy / Average Attention,68,57,Uncertain,Average
Anonymized,1,Average Accuracy / High Attention,82,65,Hypervigilant,High Attention
Anonymized,1,Average Accuracy / High Attention,86,53,Hypervigilant,Average
Anonymized,2,High Accuracy / Low Attention,80,24,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,78,24,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,79,59,Hypervigilant,Average
Anonymized,3,Low Accuracy / Average Attention,69,55,Uncertain,Average
Anonymized,3,Low Accuracy / Average Attention,68,49,Uncertain,Average
Anonymized,1,Average Accuracy / High Attention,83,50,Hypervigilant,Average
Anonymized,2,High Accuracy / Low Attention,91,29,Efficient,Low Attention
Anonymized,3,Low Accuracy / Average Attention,56,64,Uncertain,Average
Anonymized,2,High Accuracy / Low Attention,84,22,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,81,52,Hypervigilant,Average
Anonymized,2,High Accuracy / Low Attention,83,24,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,87,62,Hypervigilant,High Attention
Anonymized,1,Average Accuracy / High Attention,74,54,Uncertain,Average
Anonymized,2,High Accuracy / Low Attention,84,34,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,83,49,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,82,46,Efficient,Low Attention
Anonymized,3,Low Accuracy / Average Attention,71,56,Uncertain,Average
Anonymized,2,High Accuracy / Low Attention,84,34,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,74,60,Hypervigilant,High Attention
Anonymized,1,Average Accuracy / High Attention,93,86,Hypervigilant,High Attention
Anonymized,3,Low Accuracy / Average Attention,59,53,Uncertain,Average
Anonymized,2,High Accuracy / Low Attention,84,37,Efficient,Average
Anonymized,1,Average Accuracy / High Attention,75,52,Uncertain,Average
Anonymized,3,Low Accuracy / Average Attention,64,59,Uncertain,Average
Anonymized,3,Low Accuracy / Average Attention,60,51,Uncertain,Average
Anonymized,2,High Accuracy / Low Attention,97,44,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,80,49,Efficient,Average
Anonymized,1,Average Accuracy / High Attention,74,56,Uncertain,Average
Anonymized,3,Low Accuracy / Average Attention,71,45,Uncertain,Average
Anonymized,3,Low Accuracy / Average Attention,61,57,Uncertain,Average
Anonymized,2,High Accuracy / Low Attention,86,26,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,75,23,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,79,24,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,71,62,Hypervigilant,Average
Anonymized,2,High Accuracy / Low Attention,93,29,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,100,47,Efficient,Average
Anonymized,3,Low Accuracy / Average Attention,36,26,Uncertain,Low Attention
Anonymized,2,High Accuracy / Low Attention,85,35,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,78,21,Efficient,Low Attention
Anonymized,3,Low Accuracy / Average Attention,47,49,Uncertain,Average
Anonymized,3,Low Accuracy / Average Attention,62,26,Uncertain,Low Attention
Anonymized,3,Low Accuracy / Average Attention,76,45,Uncertain,Average
Anonymized,1,Average Accuracy / High Attention,84,51,Hypervigilant,Average
Anonymized,1,Average Accuracy / High Attention,79,73,Hypervigilant,High Attention
Anonymized,1,Average Accuracy / High Attention,85,50,Hypervigilant,Average
Anonymized,3,Low Accuracy / Average Attention,62,59,Uncertain,Average
Anonymized,2,High Accuracy / Low Attention,84,21,Efficient,Low Attention
Anonymized,3,Low Accuracy / Average Attention,72,45,Uncertain,Average
Anonymized,3,Low Accuracy / Average Attention,73,38,Uncertain,Average
Anonymized,2,High Accuracy / Low Attention,77,37,Efficient,Low Attention
Anonymized,3,Low Accuracy / Average Attention,62,37,Uncertain,Low Attention
Anonymized,1,Average Accuracy / High Attention,80,58,Hypervigilant,Average
Anonymized,1,Average Accuracy / High Attention,86,57,Hypervigilant,Average
Anonymized,3,Low Accuracy / Average Attention,64,63,Uncertain,Average
Anonymized,2,High Accuracy / Low Attention,81,35,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,78,59,Hypervigilant,High Attention
Anonymized,2,High Accuracy / Low Attention,72,28,Efficient,Low Attention
Anonymized,3,Low Accuracy / Average Attention,70,37,Uncertain,Low Attention
Anonymized,1,Average Accuracy / High Attention,88,56,Hypervigilant,Average
Anonymized,3,Low Accuracy / Average Attention,66,60,Uncertain,Average
Anonymized,2,High Accuracy / Low Attention,91,49,Efficient,Average
Anonymized,1,Average Accuracy / High Attention,75,56,Hypervigilant,Average
Anonymized,2,High Accuracy / Low Attention,76,42,Uncertain,Average
Anonymized,2,High Accuracy / Low Attention,92,35,Efficient,Low Attention
Anonymized,3,Low Accuracy / Average Attention,70,52,Uncertain,Average
Anonymized,2,High Accuracy / Low Attention,80,41,Efficient,Average
Anonymized,3,Low Accuracy / Average Attention,66,28,Uncertain,Low Attention
Anonymized,2,High Accuracy / Low Attention,104,26,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,88,44,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,97,61,Hypervigilant,Average
Anonymized,3,Low Accuracy / Average Attention,73,50,Uncertain,Average
Anonymized,2,High Accuracy / Low Attention,80,37,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,71,21,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,82,52,Hypervigilant,Average
Anonymized,3,Low Accuracy / Average Attention,71,39,Uncertain,Average
Anonymized,2,High Accuracy / Low Attention,99,26,Efficient,Low Attention
Anonymized,3,Low Accuracy / Average Attention,73,42,Efficient,Low Attention
Anonymized,3,Low Accuracy / Average Attention,63,40,Uncertain,Low Attention
Anonymized,3,Low Accuracy / Average Attention,74,46,Uncertain,Average
Anonymized,1,Average Accuracy / High Attention,86,56,Hypervigilant,Average
Anonymized,2,High Accuracy / Low Attention,86,23,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,84,57,Hypervigilant,Average
Anonymized,1,Average Accuracy / High Attention,87,52,Hypervigilant,Average
Anonymized,2,High Accuracy / Low Attention,77,43,Uncertain,Average
Anonymized,2,High Accuracy / Low Attention,79,27,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,102,59,Hypervigilant,Average
Anonymized,1,Average Accuracy / High Attention,92,85,Hypervigilant,High Attention
Anonymized,1,Average Accuracy / High Attention,69,65,Hypervigilant,Average
Anonymized,2,High Accuracy / Low Attention,86,41,Efficient,Average
Anonymized,1,Average Accuracy / High Attention,90,71,Hypervigilant,High Attention
Anonymized,1,Average Accuracy / High Attention,86,59,Hypervigilant,Average
Anonymized,1,Average Accuracy / High Attention,70,67,Hypervigilant,High Attention
Anonymized,3,Low Accuracy / Average Attention,68,47,Uncertain,Low Attention
Anonymized,2,High Accuracy / Low Attention,87,30,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,89,32,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,77,43,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,89,24,Efficient,Low Attention
Anonymized,3,Low Accuracy / Average Attention,66,56,Uncertain,Average
Anonymized,1,Average Accuracy / High Attention,81,65,Hypervigilant,High Attention
Anonymized,2,High Accuracy / Low Attention,90,30,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,75,28,Efficient,Low Attention
Anonymized,3,Low Accuracy / Average Attention,67,62,Hypervigilant,High Attention
Anonymized,2,High Accuracy / Low Attention,85,34,Efficient,Low Attention
Anonymized,3,Low Accuracy / Average Attention,62,49,Uncertain,Average
Anonymized,3,Low Accuracy / Average Attention,67,55,Uncertain,Average
Anonymized,3,Low Accuracy / Average Attention,73,39,Uncertain,Low Attention
Anonymized,3,Low Accuracy / Average Attention,65,46,Uncertain,Average
Anonymized,1,Average Accuracy / High Attention,73,60,Hypervigilant,Average
Anonymized,1,Average Accuracy / High Attention,92,56,Hypervigilant,Average
Anonymized,2,High Accuracy / Low Attention,77,42,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,82,38,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,87,38,Efficient,Low Attention
Anonymized,3,Low Accuracy / Average Attention,71,43,Uncertain,Average
Anonymized,2,High Accuracy / Low Attention,88,42,Efficient,Average
Anonymized,2,High Accuracy / Low Attention,82,32,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,90,34,Efficient,Low Attention
Anonymized,3,Low Accuracy / Average Attention,74,48,Uncertain,Average
Anonymized,3,Low Accuracy / Average Attention,68,49,Uncertain,Average
Anonymized,2,High Accuracy / Low Attention,79,44,Efficient,Average
Anonymized,2,High Accuracy / Low Attention,73,30,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,84,48,Efficient,Average
Anonymized,3,Low Accuracy / Average Attention,73,44,Uncertain,Average
Anonymized,1,Average Accuracy / High Attention,89,76,Hypervigilant,High Attention
Anonymized,2,High Accuracy / Low Attention,83,44,Efficient,Average
Anonymized,3,Low Accuracy / Average Attention,64,72,Hypervigilant,High Attention
Anonymized,1,Average Accuracy / High Attention,73,71,Hypervigilant,High Attention
Anonymized,1,Average Accuracy / High Attention,90,60,Hypervigilant,High Attention
Anonymized,3,Low Accuracy / Average Attention,76,48,Uncertain,Average
Anonymized,3,Low Accuracy / Average Attention,55,42,Uncertain,Low Attention
Anonymized,1,Average Accuracy / High Attention,84,68,Hypervigilant,High Attention
Anonymized,2,High Accuracy / Low Attention,95,38,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,78,39,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,83,69,Hypervigilant,High Attention
Anonymized,1,Average Accuracy / High Attention,87,51,Hypervigilant,Average
Anonymized,1,Average Accuracy / High Attention,82,53,Hypervigilant,Average
Anonymized,2,High Accuracy / Low Attention,95,46,Efficient,Average
Anonymized,2,High Accuracy / Low Attention,80,39,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,76,29,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,77,44,Uncertain,Average
Anonymized,1,Average Accuracy / High Attention,80,60,Hypervigilant,Average
Anonymized,2,High Accuracy / Low Attention,82,29,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,90,90,Hypervigilant,High Attention
Anonymized,1,Average Accuracy / High Attention,72,67,Hypervigilant,High Attention
Anonymized,2,High Accuracy / Low Attention,88,40,Efficient,Average
Anonymized,2,High Accuracy / Low Attention,99,49,Efficient,Average
Anonymized,3,Low Accuracy / Average Attention,71,48,Uncertain,Average
Anonymized,1,Average Accuracy / High Attention,89,71,Hypervigilant,High Attention
Anonymized,1,Average Accuracy / High Attention,84,49,Hypervigilant,Average
Anonymized,2,High Accuracy / Low Attention,97,29,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,93,57,Hypervigilant,Average
Anonymized,3,Low Accuracy / Average Attention,74,48,Uncertain,Average
Anonymized,2,High Accuracy / Low Attention,85,25,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,89,32,Efficient,Low Attention
Anonymized,3,Low Accuracy / Average Attention,69,54,Uncertain,Average
Anonymized,2,High Accuracy / Low Attention,81,32,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,89,43,Efficient,Average
Anonymized,2,High Accuracy / Low Attention,89,21,Efficient,Low Attention
Anonymized,3,Low Accuracy / Average Attention,61,41,Uncertain,Low Attention
Anonymized,2,High Accuracy / Low Attention,94,24,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,77,62,Hypervigilant,Average
Anonymized,1,Average Accuracy / High Attention,103,71,Hypervigilant,High Attention
Anonymized,2,High Accuracy / Low Attention,82,37,Efficient,Average
Anonymized,3,Low Accuracy / Average Attention,61,36,Uncertain,Low Attention
Anonymized,1,Average Accuracy / High Attention,84,77,Hypervigilant,High Attention
Anonymized,2,High Accuracy / Low Attention,96,32,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,74,21,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,81,36,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,74,37,Uncertain,Average
Anonymized,2,High Accuracy / Low Attention,96,33,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,89,54,Hypervigilant,Average
Anonymized,1,Average Accuracy / High Attention,84,65,Hypervigilant,High Attention
Anonymized,3,Low Accuracy / Average Attention,72,57,Hypervigilant,Average
Anonymized,2,High Accuracy / Low Attention,70,21,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,80,24,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,73,66,Hypervigilant,High Attention
Anonymized,3,Low Accuracy / Average Attention,72,37,Uncertain,Average
